fk_rede,rede,data,nome_dia,volume_total_usd,total_trades
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-06-04,Quarta-feira,87507.58164039711,70
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-06-07,Sábado,42821.27654578012,148
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-06-03,Terça-feira,22617.637240970776,32
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-06-19,Quinta-feira,3.464096934363477E20,3638
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-06-02,Segunda-feira,4.180041205220662E19,1204
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-06-18,Quarta-feira,1588423.5297175995,780
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-06-19,Quinta-feira,395518.6214943582,150
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-06-02,Segunda-feira,1937720.720924571,5352
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-06-05,Quinta-feira,873744.8875856962,2962
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-06-04,Quarta-feira,901047.8955099242,3810
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-06-07,Sábado,563970.2214102377,1502
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-06-03,Terça-feira,3076146.712717827,6980
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-06-18,Quarta-feira,1.8591013404693728E16,28120
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-06-19,Quinta-feira,1709263.9694219795,568
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-06-02,Segunda-feira,4.3414279030706035E17,440
